Score	Observed_or_Simulated
0.19745	Observed
0.07653	Observed
0.03686	Observed
0.21212	Observed
0.05007	Observed
0.15183	Observed
0.16690	Observed
0.08260	Observed
0.12344	Observed
0.17241	Observed
0.02426	Observed
0.03497	Observed
0.03784	Observed
0.08924	Observed
0.03784	Observed
0.07653	Observed
0.08924	Observed
0.08924	Observed
0.03405	Observed
0.05263	Observed
0.07653	Observed
0.19745	Observed
0.08924	Observed
0.03497	Observed
0.06422	Observed
0.01756	Observed
0.04415	Observed
0.08924	Observed
0.06584	Observed
0.03686	Observed
0.16164	Observed
0.02729	Observed
0.08696	Observed
0.08924	Observed
0.11349	Observed
0.02500	Observed
0.07097	Observed
0.08052	Observed
0.02651	Observed
0.29258	Observed
0.09159	Observed
0.04762	Observed
0.06110	Observed
0.09159	Observed
0.10457	Observed
0.07463	Observed
0.26829	Observed
0.09159	Observed
0.07850	Observed
0.13462	Observed
0.03883	Observed
0.05396	Observed
0.09402	Observed
0.11041	Observed
0.12702	Observed
0.06921	Observed
0.10457	Observed
0.04089	Observed
0.05133	Observed
0.04195	Observed
0.02145	Observed
0.06264	Observed
0.12344	Observed
0.01460	Observed
0.11349	Observed
0.17820	Observed
0.29258	Observed
0.16164	Observed
0.16690	Observed
0.09159	Observed
0.02808	Observed
0.04644	Observed
0.12000	Observed
0.10457	Observed
0.09912	Observed
0.08924	Observed
0.05532	Observed
0.15183	Observed
0.07850	Observed
0.05960	Observed
0.05007	Observed
0.06750	Observed
0.05814	Observed
0.11668	Observed
0.11041	Observed
0.02500	Observed
0.05263	Observed
0.03985	Observed
0.02145	Observed
0.06264	Observed
0.13462	Observed
0.02575	Observed
0.03686	Observed
0.06264	Observed
0.05532	Observed
0.12702	Observed
0.03784	Observed
0.15663	Observed
0.12344	Observed
0.19070	Observed
0.06422	Observed
0.08052	Observed
0.09653	Observed
0.02808	Observed
0.07463	Observed
0.06422	Observed
0.06750	Observed
0.12344	Observed
0.05396	Observed
0.08924	Observed
0.09912	Observed
0.08696	Observed
0.12000	Observed
0.08696	Observed
0.07463	Observed
0.07850	Observed
0.08052	Observed
0.06584	Observed
0.13865	Observed
0.09159	Observed
0.08924	Observed
0.11041	Observed
0.10457	Observed
0.05263	Observed
0.10180	Observed
0.12000	Observed
0.05960	Observed
0.09402	Observed
0.07850	Observed
0.06110	Observed
0.07277	Observed
0.13074	Observed
0.10180	Observed
0.16690	Observed
0.44099	Observed
0.12702	Observed
0.13865	Observed
0.08696	Observed
0.05960	Observed
0.10457	Observed
0.04195	Observed
0.03139	Observed
0.04762	Observed
0.01460	Observed
0.12344	Observed
0.04089	Observed
0.06584	Observed
0.07653	Observed
0.03883	Observed
0.07653	Observed
0.02808	Observed
0.16164	Observed
0.13074	Observed
0.11349	Observed
0.08260	Observed
0.16690	Observed
0.02651	Observed
0.10180	Observed
0.13865	Observed
0.02500	Observed
0.03590	Observed
0.06110	Observed
0.04762	Observed
0.02651	Observed
0.03314	Observed
0.06584	Observed
0.12344	Observed
0.04195	Observed
0.08924	Observed
0.06264	Observed
0.05007	Observed
0.06750	Observed
0.03686	Observed
0.05396	Observed
0.02213	Observed
0.09653	Observed
0.11668	Observed
0.10180	Observed
0.08924	Observed
0.16164	Observed
0.01881	Observed
0.22010	Observed
0.06110	Observed
0.05263	Observed
0.01756	Observed
0.05396	Observed
0.12344	Observed
0.20458	Observed
0.17241	Observed
0.03497	Observed
0.09912	Observed
0.15183	Observed
0.05814	Observed
0.10180	Observed
0.09402	Observed
0.07463	Observed
0.05814	Observed
0.06584	Observed
0.17241	Observed
0.10457	Observed
0.57480	Observed
0.09402	Observed
0.07097	Observed
0.06921	Observed
0.15663	Observed
0.21212	Observed
0.02970	Observed
0.07653	Observed
0.05814	Observed
0.06921	Observed
0.02354	Observed
0.02970	Observed
0.10744	Observed
0.08696	Observed
0.04089	Observed
0.07653	Observed
0.07850	Observed
0.02283	Observed
0.06110	Observed
0.05671	Observed
0.09159	Observed
0.04644	Observed
0.02651	Observed
0.16690	Observed
0.22010	Observed
0.06921	Observed
0.17241	Observed
0.11349	Observed
0.08260	Observed
0.03985	Observed
0.05007	Observed
0.01881	Observed
0.05671	Observed
0.08475	Observed
0.02888	Observed
0.05814	Observed
0.73399	Observed
0.01460	Observed
0.05133	Observed
0.03985	Observed
0.03590	Observed
0.80645	Observed
0.08696	Observed
0.05814	Observed
0.07277	Observed
0.06264	Observed
0.05396	Observed
0.80645	Observed
0.04883	Observed
0.11668	Observed
0.19070	Observed
0.03590	Observed
0.05671	Observed
0.03686	Observed
0.09912	Observed
0.03139	Observed
0.07463	Observed
0.04883	Observed
0.13462	Observed
0.07850	Observed
0.03054	Observed
0.05814	Observed
0.04089	Observed
0.09402	Observed
0.07653	Observed
0.07277	Observed
0.09653	Observed
0.12000	Observed
0.15663	Observed
0.04089	Observed
0.17820	Observed
0.03883	Observed
0.21212	Observed
0.04883	Observed
0.07850	Observed
0.03405	Observed
0.07653	Observed
0.05671	Observed
0.09912	Observed
0.07463	Observed
0.09912	Observed
0.03784	Observed
0.08696	Observed
0.06584	Observed
0.14286	Observed
0.05671	Observed
0.07463	Observed
0.03139	Observed
0.08696	Observed
0.09402	Observed
0.09653	Observed
0.06921	Observed
0.13462	Observed
0.03226	Observed
0.07277	Observed
0.04762	Observed
0.19745	Observed
0.04415	Observed
0.05007	Observed
0.05960	Observed
0.37265	Observed
0.08696	Observed
0.08260	Observed
0.19745	Observed
0.50000	Observed
0.07653	Observed
0.80645	Observed
0.67273	Observed
0.09402	Observed
0.08475	Observed
0.05960	Observed
0.10457	Observed
0.17241	Observed
0.10180	Observed
0.20458	Observed
0.06422	Observed
0.06584	Observed
0.03985	Observed
0.11349	Observed
0.20458	Observed
0.57480	Observed
0.09912	Observed
0.10744	Observed
0.06921	Observed
0.05532	Observed
0.09159	Observed
0.13462	Observed
0.41593	Observed
0.57480	Observed
0.21212	Observed
0.03405	Observed
0.22010	Observed
0.16690	Observed
0.16690	Observed
0.09912	Observed
0.21212	Observed
0.04644	Observed
0.06422	Observed
0.13462	Observed
0.21212	Observed
0.05007	Observed
0.19070	Observed
0.02354	Observed
0.10744	Observed
0.09912	Observed
0.07097	Observed
0.07463	Observed
0.03784	Observed
0.11349	Observed
0.04304	Observed
0.11668	Observed
0.06750	Observed
0.22010	Observed
0.07097	Observed
0.04762	Observed
0.04762	Observed
0.15663	Observed
0.05133	Observed
0.10180	Observed
0.03226	Observed
0.11668	Observed
0.20458	Observed
0.08924	Observed
0.11041	Observed
0.17241	Observed
0.13074	Observed
0.13462	Observed
0.10744	Observed
0.14286	Observed
0.03985	Observed
0.09402	Observed
0.09402	Observed
0.06264	Observed
0.12000	Observed
0.07653	Observed
0.14725	Observed
0.11349	Observed
0.05133	Observed
0.10457	Observed
0.03226	Observed
0.02729	Observed
0.10180	Observed
0.14725	Observed
0.03139	Observed
0.09653	Observed
0.22010	Observed
0.03226	Observed
0.08924	Observed
0.11668	Observed
0.12702	Observed
0.06264	Observed
0.12000	Observed
0.67273	Observed
0.17241	Observed
0.13074	Observed
0.14725	Observed
0.07097	Observed
0.24715	Observed
0.16164	Observed
0.06422	Observed
0.80645	Observed
0.16690	Observed
0.04883	Observed
0.03784	Observed
0.26829	Observed
0.16690	Observed
0.21212	Observed
0.22010	Observed
0.04644	Observed
0.04195	Observed
0.02888	Observed
0.13074	Observed
0.06264	Observed
0.06110	Observed
0.09653	Observed
0.03314	Observed
0.09912	Observed
0.08924	Observed
0.03883	Observed
0.03405	Observed
0.05133	Observed
0.37265	Observed
0.05007	Observed
0.07653	Observed
0.08260	Observed
0.08924	Observed
0.13074	Observed
0.04304	Observed
0.03686	Observed
0.03883	Observed
0.11041	Observed
0.25737	Observed
0.07850	Observed
0.15663	Observed
0.08696	Observed
0.16690	Observed
0.01818	Observed
0.02213	Observed
0.06110	Observed
0.09912	Observed
0.14725	Observed
0.03054	Observed
0.06584	Observed
0.07850	Observed
0.06264	Observed
0.04644	Observed
0.05263	Observed
0.11041	Observed
0.09159	Observed
0.01460	Observed
0.04883	Observed
0.08260	Observed
0.15663	Observed
0.03883	Observed
0.10744	Observed
0.04528	Observed
0.09912	Observed
0.16164	Observed
0.05396	Observed
0.09402	Observed
0.07097	Observed
0.04883	Observed
0.08696	Observed
0.06422	Observed
0.15183	Observed
0.03314	Observed
0.04415	Observed
0.08052	Observed
0.06750	Observed
0.04762	Observed
0.03497	Observed
0.05532	Observed
0.06921	Observed
0.05532	Observed
0.04883	Observed
0.03883	Observed
0.05133	Observed
0.24715	Observed
0.19745	Observed
0.05671	Observed
0.03784	Observed
0.08924	Observed
0.08260	Observed
0.09159	Observed
0.28000	Observed
0.09159	Observed
0.21212	Observed
0.02575	Observed
0.10180	Observed
0.17241	Observed
0.08260	Observed
0.16164	Observed
0.02283	Observed
0.05532	Observed
0.15663	Observed
0.18429	Observed
0.05263	Observed
0.02888	Observed
0.04644	Observed
0.08475	Observed
0.12702	Observed
0.07850	Observed
0.15663	Observed
0.05671	Observed
0.12702	Observed
0.19745	Observed
0.04089	Observed
0.10457	Observed
0.09912	Observed
0.08924	Observed
0.10457	Observed
0.05133	Observed
0.06264	Observed
0.05263	Observed
0.46885	Observed
0.11041	Observed
0.04304	Observed
0.29258	Observed
0.04415	Observed
0.07463	Observed
0.09653	Observed
0.05133	Observed
0.03497	Observed
0.16690	Observed
0.08475	Observed
0.03590	Observed
0.08052	Observed
0.07850	Observed
0.03497	Observed
0.06921	Observed
0.05396	Observed
0.04089	Observed
0.07463	Observed
0.05396	Observed
0.16690	Observed
0.06921	Observed
0.14725	Observed
0.11668	Observed
0.07463	Observed
0.06264	Observed
0.05263	Observed
0.06422	Observed
0.08260	Observed
0.17820	Observed
0.02970	Observed
0.06750	Observed
0.26829	Observed
0.04883	Observed
0.19745	Observed
0.08260	Observed
0.14725	Observed
0.06584	Observed
0.07463	Observed
0.12344	Observed
0.13462	Observed
0.30612	Observed
0.10744	Observed
0.08052	Observed
0.07463	Observed
0.04762	Observed
0.02145	Observed
0.08475	Observed
0.03686	Observed
0.02888	Observed
0.06750	Observed
0.01818	Observed
0.80645	Observed
0.04883	Observed
0.10180	Observed
0.08052	Observed
0.13462	Observed
0.08924	Observed
0.06750	Observed
0.04089	Observed
0.01293	Observed
0.03590	Observed
0.09402	Observed
0.03985	Observed
0.10744	Observed
0.01635	Observed
0.57480	Observed
0.03139	Observed
0.08924	Observed
0.06584	Observed
0.07653	Observed
0.10744	Observed
0.04415	Observed
0.05532	Observed
0.06921	Observed
0.12000	Observed
0.37265	Observed
0.13865	Observed
0.11349	Observed
0.05263	Observed
0.08924	Observed
0.05532	Observed
0.08052	Observed
0.03590	Observed
0.12344	Observed
0.08924	Observed
0.11349	Observed
0.15183	Observed
0.02888	Observed
0.13462	Observed
0.07850	Observed
0.05960	Observed
0.07463	Observed
0.03054	Observed
0.03784	Observed
0.05263	Observed
0.35385	Observed
0.08475	Observed
0.07463	Observed
0.62025	Observed
0.22857	Observed
0.19745	Observed
0.22857	Observed
0.12702	Observed
0.03054	Observed
0.12000	Observed
0.04528	Observed
0.07850	Observed
0.03054	Observed
